#,project_date,project_ref#,investing_company,parent_company,company_profile,website,revenue_(usd_m),headcount,r&d_expenditure_(usd_m),year_established,company_email,company_telephone,source_region,source_country,source_state,source_admin_region_(us_county),source_city,destination_region,destination_country,destination_state,destination_admin_region_(us_county),destination_city,free_zone,relocation,sector,sub_sector,cluster,activity,jobs_created,estimated,capital_investment,estimated.1,project_type,project_status,motive_description,markets_served,joint_venture_companies,source,developed,emne,bordering_country,industry,natural_resource_ind,colonial_link,year
27,2018-11-01,#323167,Qatar Energy (Qatar Petroleum),Qatar Energy (Qatar Petroleum),"Qatar Energy operates in the oil and gas industry in Qatar. The company engages in the exploration, drilling, marketing and sale of crude oil, liquefied natural gas and refined products. The company, formerly known as Qatar General Petroleum Corporation, was founded in 1974 and is based in Doha, Qatar. As of 11 October 2021, the company has changed its name to Qatar Energy.",qatarenergy.qa/,30000.0,0.0,,1974.0,,+97440134895,Middle East,qatar,Qatar,Not Specified,Doha,Africa,mozambique,Maputo,Not Specified,Maputo,,,"Coal, oil & gas","Natural, liquefied and compressed gas",Energy,"Sales, Marketing & Support",34,Yes,8.5,Yes,New,Opened,,,,"https://www.africaintelligence.com/aem/oil/2018/11/13/qatar-petroleum-opens-offices-in-maputo-at-last,108332219-art",False,True,False,coal_oil_and_gas_natural_liquefied_and_compressed_gas_sales_marketing_and_support,False,False,2018
43,2018-11-01,#317852,Triton Minerals,Triton Minerals,"Triton Minerals Limited primarily engages in the evaluation, exploration, and development of mineral resources, primarily graphite in Mozambique. It primarily holds seven exploration licenses comprising three project areas, which include the Ancuabe project, the Balama North project, and the Balama South project located in the Cabo Delgado Province of northern Mozambique. The company was formerly known as Triton Gold Limited and changed its name to Triton Minerals Limited in February 2013. Triton Minerals Limited was founded in 2006 and is based in West Perth, Australia.",www.tritongold.com.au,,,,2006.0,,,Asia-Pacific,australia,Western Australia,Not Specified,Subiaco,Africa,mozambique,Cabo Delgado,Not Specified,Ancuabe,,,Minerals,Nonmetallic mineral mining & quarrying,Physical Sciences,Extraction,161,Yes,99.4,No,New,Announced,,,,http://www.miningweekly.com/article/triton-signs-mou-to-help-develop-ancuabe-2018-11-07,True,False,False,minerals_nonmetallic_mineral_mining_and_quarrying_extraction,True,False,2018
103,2018-08-01,#311207,Cervejas de MoCambique,Anheuser-Busch InBev (AB InBev),"Anheuser-Busch InBev, also known as Ab InBev, is a brewing company. It engages in the production, marketing, and distribution of beer in Latin America, North America, Europe and Asia-Pacific. It offers a portfolio of approximately 200 beer brands. The company's global brands include Budweiser, Stella Artois, and Beck's; multi-country brands consist of Leffe and Hoegaarden; and local brands comprise Bud Light, Michelob, Skol, Brahma, Antarctica, Quilmes, Jupiler, Hasseroder, Klinskoye, Sibirskaya Korona, Chernigivske, Harbin and Sedrin. Established in 1366, the company is headquartered in Leuven, Belgium.",www.ab-inbev.com,54300.0,169340.0,,1366.0,souCDM@mz.ab-inbev.com,+25821352300,Western Europe,belgium,Flemish Region (Flanders),Flemish Brabant,Leuven,Africa,mozambique,Maputo,Not Specified,Marracuene,,,Food & Beverages,Breweries & distilleries,Agribusiness,Manufacturing,200,No,180.0,No,New,Opened,"""The facility will also help AB InBev keep pace with demand in a market that saw growth over more than 20% in the first half of this year,"" said Ricardo Tadeu, president of the African zone.",Africa,,https://www.hospitalityireland.com/drinks/ab-inbev-opens-brewery-plant-in-mozambique-127647,True,False,False,food_and_beverages_breweries_and_distilleries_manufacturing,False,False,2018
104,2018-08-01,#312844,Galp Energia,Galp Energia,"Galp Energia engages in the exploration and production of petroleum and natural gas, as well as the refining and distribution of petroleum products. The company engages in the exploration, development and production of hydrocarbons primarily in Angola, Brazil, Mozambique and East Timor. Galp Energia was founded in 1999 and is based in Lisbon, Portugal.",www.galpenergia.com,17524.55,6150.0,,1999.0,galp@galpenergia.com,+351217242500,Western Europe,portugal,Portugal,Lisboa,Lisbon,Africa,mozambique,Sofala,Not Specified,Beira,,,"Coal, oil & gas","Natural, liquefied and compressed gas",Energy,"Logistics, Distribution & Transportation",38,Yes,50.0,Yes,New,Announced,,,,http://clubofmozambique.com/news/portugal-galp-to-invest-e128-7-million-in-mozambique-by-2020/,True,False,False,coal_oil_and_gas_natural_liquefied_and_compressed_gas_logistics_distribution_and_transportation,False,True,2018
105,2018-08-01,#312842,Galp Energia,Galp Energia,"Galp Energia engages in the exploration and production of petroleum and natural gas, as well as the refining and distribution of petroleum products. The company engages in the exploration, development and production of hydrocarbons primarily in Angola, Brazil, Mozambique and East Timor. Galp Energia was founded in 1999 and is based in Lisbon, Portugal.",www.galpenergia.com,17524.55,6150.0,,1999.0,galp@galpenergia.com,+351217242500,Western Europe,portugal,Portugal,Lisboa,Lisbon,Africa,mozambique,Maputo,Not Specified,Matola,,,"Coal, oil & gas","Natural, liquefied and compressed gas",Energy,"Logistics, Distribution & Transportation",38,Yes,50.0,Yes,New,Announced,,,,http://clubofmozambique.com/news/portugal-galp-to-invest-e128-7-million-in-mozambique-by-2020/,True,False,False,coal_oil_and_gas_natural_liquefied_and_compressed_gas_logistics_distribution_and_transportation,False,True,2018
146,2018-07-01,#310565,Rovuma LNG,Exxon Mobil,"Exxon Mobil through its divisions and affiliates is engaged in the exploration for, and production of, crude oil and natural gas. The company also manufactures petroleum products; manufactures and markets commodity petrochemicals, including olefins, aromatics, polyethylene, and polypropylene plastics, as well as various specialty products; and transports and sells crude oil, natural gas, and petroleum products. The company operates in three segments: upstream, downstream and chemicals. Exxon Mobil was founded in 1999 and is based in Irving, Texas, US. Exxon Mobil also operates as ExxonMobil. In February 2022, the company announced that it is moving its headquarters from Irving to Houston, Texas.",www.exxonmobil.com,276692.0,63000.0,1214.0,1999.0,,,North America,united_states,Texas,Dallas County (TX),Irving (TX),Africa,mozambique,Cabo Delgado,Not Specified,Not Specified,,,"Coal, oil & gas","Natural, liquefied and compressed gas",Energy,Manufacturing,201,Yes,1384.9,Yes,New,Announced,,,,https://news.exxonmobil.com/press-release/rovuma-lng-phase-1-development-plan-submitted-government-mozambique,True,False,False,coal_oil_and_gas_natural_liquefied_and_compressed_gas_manufacturing,False,False,2018
236,2018-04-01,#302199,Pure Diets Mozambique,Pure Diets,"Pure Diets engages in the manufacture and distribution of sugar, molasses, refined spirts and alcohol and mango puree. The company was established in 2006 and is headquartered in New Dehli, India.",www.purelife.in,,,,2006.0,,+258827187674,Asia-Pacific,india,Delhi,Not Specified,New Delhi,Africa,mozambique,Maputo,Not Specified,Maputo,,,Food & Beverages,Sugar & confectionary products,Agribusiness,Manufacturing,100,No,36.824,No,New,Announced,,Mozambique and Europe,,http://clubofmozambique.com/news/moamba-to-have-eur-30-milllion-sugar-production-plant/,False,True,False,food_and_beverages_sugar_and_confectionary_products_manufacturing,False,False,2018
244,2018-04-01,#302167,Builders Warehouse,Walmart,"Walmart is a multinational retail firm that operates hypermarkets, discount department stores, and grocery stores. Walmart was founded in 1945 and is headquartered in Bentonville, Arkansas, US.",www.walmart.com/,559150.0,0.0,,1945.0,info@builders.co.za,+27117970400,North America,united_states,Arkansas,Benton County (AR),Bentonville (AR),Africa,mozambique,Maputo,Not Specified,Maputo,,,Consumer products,Building material & garden equipment & supplies dealers (Consumer products),Retail Trade,Retail,115,Yes,2.9,Yes,New,Opened,,,,http://clubofmozambique.com/news/builders-warehouse-african-opening-third-store-in-mozambique-today/,True,False,False,consumer_products_building_material_and_garden_equipment_and_supplies_dealers_consumer_products_retail,False,False,2018
255,2018-03-01,#299334,Carrick Wealth,Carrick Wealth,"Carrick Wealth specialises in wealth and capital management services. The company aims to help its customers preserve, protect and grow their wealth by offering a range of advisory services. Carrick Wealth was established in 2014 and is headquartered in Cape Town, South Africa.",carrick-wealth.com,,,,2014.0,info@carrick-wealth.com,+27212011000,Africa,south_africa,Western Cape,Not Specified,Cape Town,Africa,mozambique,Not Specified,Not Specified,Not Specified,,,Financial services,Investment management,Financial Services,Business Services,22,Yes,9.5,Yes,New,Announced,,,,http://carrick-wealth.com/carrick-wealth-management-continues-african-expansion-programme/,False,True,True,financial_services_investment_management_business_services,False,False,2018
260,2018-03-01,#300405,Massmart,Walmart,"Walmart is a multinational retail firm that operates hypermarkets, discount department stores, and grocery stores. Walmart was founded in 1945 and is headquartered in Bentonville, Arkansas, US.",www.walmart.com/,559150.0,0.0,,1945.0,info@massmart.co.za,+27115170000,North America,united_states,Arkansas,Benton County (AR),Bentonville (AR),Africa,mozambique,Not Specified,Not Specified,Not Specified,,,Consumer products,Other (Consumer products ),Retail Trade,Retail,115,Yes,2.9,Yes,New,Announced,,,,https://uk.reuters.com/article/africa-business-massmart/interview-massmart-to-open-20-stores-in-pan-african-expansion-chairman-idUKL8N1R85W6,True,False,False,consumer_products_other_consumer_products__retail,False,False,2018
