#,project_date,project_ref#,investing_company,parent_company,company_profile,website,revenue_(usd_m),headcount,r&d_expenditure_(usd_m),year_established,company_email,company_telephone,source_region,source_country,source_state,source_admin_region_(us_county),source_city,destination_region,destination_country,destination_state,destination_admin_region_(us_county),destination_city,free_zone,relocation,sector,sub_sector,cluster,activity,jobs_created,estimated,capital_investment,estimated.1,project_type,project_status,motive_description,markets_served,joint_venture_companies,source,source_is_th,destination_is_th,source_questionable,developed,emne,bordering_country,industry,natural_resource_ind,colonial_link,year
1,2018-12-01,#320283,Industrial Bank of Korea (IBK),Industrial Bank of Korea (IBK),"Industrial Bank of Korea provides various banking products and financial services to individuals and corporate customers. It operates through seven segments: retail banking, corporate banking, money market, credit card operations, foreign exchange, and others. The company accepts various deposit products, such as demand, instalment, time, and certificates of deposit, as well as savings and current accounts; and offers retail loans, mortgage loans, overdrafts, and other credit facilities. It also provides credit cards; credit information services; investment banking products and services; bancassurance; and annuity, retirement, and pension and life insurance products Industrial Bank of Korea was founded in 1961 and is headquartered in Seoul, South Korea.",www.ibk.co.kr,9366.4,12603.0,,1961.0,,+82318888000,Asia-Pacific,south_korea,Seoul,Not Specified,Seoul,Asia-Pacific,cambodia,Phnom Penh,Not Specified,Phnom Penh,,,Financial services,Corporate & investment banking,Financial Services,Business Services,60,Yes,30.6,Yes,New,Opened,,,,https://www.khmertimeskh.com/50558528/koreas-industrial-bank-plans-cambodia-expansion/,False,False,False,False,True,False,financial_services_corporate_and_investment_banking_business_services,False,False,2018
37,2018-11-01,#318892,Taiwan Cooperative Bank,Taiwan Cooperative Financial Holding,"Taiwan Cooperative Financial Holding is a financial holding company. The company operates its businesses primarily through investment and management of its subsidiaries: Taiwan Cooperative Bank, Taiwan Cooperative Bills Financial Corporation, Taiwan Cooperative Securities, and others, which are involved in banking, bill finance, credit card, trust, insurance, security, future, venture capital and other financial activities. The company was established in 1946 and is headquartered in Taipei, Taiwan.",www.tcfhc.com.tw,8641.78,,,,,+886223118811,Asia-Pacific,taiwan,Taipei,Not Specified,Taipei,Asia-Pacific,cambodia,Phnom Penh,Not Specified,Phnom Penh,,,Financial services,Retail banking,Financial Services,Business Services,60,Yes,30.6,Yes,New,Announced,"Chung-Dar Lei, chairman, has said that the bank sees Phnom Penh as a hub from which it can expand north and south in Cambodia, extending its reach in the emerging market.",,,http://focustaiwan.tw/news/aeco/201811160012.aspx,False,False,False,False,True,False,financial_services_retail_banking_business_services,False,False,2018
46,2018-11-01,#319228,Kent International,Kent International,"Kent International, Inc. designs and manufactures bicycles for adults, youth, and kids. It also offers specialty bikes, cycling accessories and tools, cycle parts and maintenance items, as well as cycling helmets for adults, youth, toddlers, and children. The company was formerly known as Philkam Cycle and changed its name to Kent International, Inc. in January 1958. Kent International, Inc. was founded in 1947 and is based in Parsippany, New Jersey.",www.kent.bike/,28.37,100.0,,1947.0,,+9734348180,North America,united_states,New Jersey,Morris County (NJ),Parsippany (NJ),Asia-Pacific,cambodia,Not Specified,Not Specified,Not Specified,,China,Non-automotive transport OEM,"Motorcycle, bicycle, & parts",Transport Equipment,Manufacturing,768,Yes,73.6,Yes,New,Announced,"Arnold Kamler, chief executive officer, ""Assuming the 25% tariff takes effect, the idea is to move essentially all of our production from China to Cambodia.""",,,https://www.sbrchina.com/bicycle-production-shifts-to-cambodia/,False,False,False,True,False,False,non_automotive_transport_oem_motorcycle_bicycle_and_parts_manufacturing,False,False,2018
69,2018-10-01,#340002,Prestige International,Prestige International,"Prestige International provides business process outsourcing services such as roadside assistance, property assistance, insurance BPO, warranty, IT solutions, customer support and provides temporary workers. The company was formed in 1986 and is based in Tokyo, Japan.",www.prestigein.com/english/index.html,181.77,,,1986.0,,+81352130220,Asia-Pacific,japan,Kanto,Tokyo,Tokyo,Asia-Pacific,cambodia,Phnom Penh,Not Specified,Phnom Penh,,,Business services,Business support services,Professional Services,Customer Contact Centre,2,No,0.0,Yes,New,Opened,,,,Nikkei Business Trends,False,False,False,True,False,False,business_services_business_support_services_customer_contact_centre,False,False,2018
75,2018-09-01,#315067,Shenzhou International Group,Shenzhou International Group,"Shenzhou International Group, an investment holding company, engages in manufacturing, processing, and selling knitwear products in China on an original equipment manufacturer basis. It offers casual wear, sports wear, and lingerie. It is also involved in the import and export of commodities; clothing detection; print and sale of knitwear products; retail business; and property management activities. The company exports its products to Japan, Europe, Asia-Pacific, and the United States. Shenzhou International Group was incorporated in 2005 and is headquartered in Ningbo, China.",www.shenzhouintl.com,2656.65,77100.0,,2005.0,,+8657486980888,Asia-Pacific,china,Zhejiang,Not Specified,Ningbo,Asia-Pacific,cambodia,Phnom Penh,Not Specified,Phnom Penh,Phnom Penh Special Economic Zone,,Textiles,Cut & sew apparel,"Wood, Apparel & Related Products",Manufacturing,17000,No,150.0,No,New,Announced,,,,http://tea-india.org/news-board/12186-chinese-apparel-producer-starts-building-cambodia-factory-14th-march-2019,False,False,False,False,True,False,textiles_cut_and_sew_apparel_manufacturing,False,False,2018
76,2018-09-01,#314124,Onward Holdings,Onward Holdings,"Onward Holdings manufactures men's ready-made suits, women's, and children's wear. The company has its own brands, Onward and KUMIKYOKU. The firm also manufactures sports goods, books, stationery, cosmetics and art decoration. It was founded in Tokyo, Japan.",www.onward.co.jp,2389.11,4973.0,,,nhn-kouhou@onward.co.jp,+81345121020,Asia-Pacific,japan,Kanto,Tokyo,Tokyo,Asia-Pacific,cambodia,Not Specified,Not Specified,Not Specified,,,Textiles,Clothing & clothing accessories,"Wood, Apparel & Related Products","Sales, Marketing & Support",42,Yes,1.8,Yes,New,Opened,,,,https://asia.nikkei.com/Business/Business-Trends/Uniqlo-and-Onward-bolster-Southeast-Asian-output,False,False,False,True,False,False,textiles_clothing_and_clothing_accessories_sales_marketing_and_support,False,False,2018
92,2018-09-01,#315147,TripFactory,TripFactory,"TripFactory is a travel agency that helps users find new travel locations and book their next stay. The company was established in 2013 and is headquartered in Bangalore, India.",www.tripfactory.com/,,,,2013.0,,+918067661661,Asia-Pacific,india,Karnataka,Not Specified,Bangalore,Asia-Pacific,cambodia,Not Specified,Not Specified,Not Specified,,,Hotels & tourism,Travel arrangement & reservation services,Tourism,"Sales, Marketing & Support",16,Yes,1.7,Yes,New,Announced,,,,https://www.dealstreetasia.com/stories/india-tripfactory-in-talks-to-raise-100m-series-b-106551/,False,False,False,False,True,False,hotels_and_tourism_travel_arrangement_and_reservation_services_sales_marketing_and_support,False,False,2018
97,2018-09-01,#313763,KB Financial Group,KB Financial Group,"South Korea-based KB Financial Group is a financial holding company that provides various banking and related services. Its remit includes commercial banking, asset management and life insurance. The company engages in computer system development, system maintenance and information technology outsourcing services. The company was founded in 2008 and is headquartered in Seoul, South Korea.",m.kbfg.com,21263.81,,,2008.0,,+82220737114,Asia-Pacific,south_korea,Seoul,Not Specified,Seoul,Asia-Pacific,cambodia,Phnom Penh,Not Specified,Phnom Penh,,,Financial services,Retail banking,Financial Services,Business Services,60,Yes,30.6,Yes,New,Opened,,,,http://koreajoongangdaily.joins.com/news/article/article.aspx?aid=3052898,False,False,False,False,True,False,financial_services_retail_banking_business_services,False,False,2018
108,2018-08-01,#312610,Hoang Anh Gia Lai Agricultural,Hoang Anh Gia Lai (HAGL),"Hoang Anh Gia Lai (HGAL), through its subsidiaries, engages in developing apartments for sale and lease in Vietnam. It operates through segments which include real estate, production, trading and services, construction, power, mining and plantation. It is also involved in the manufacture and trade of furniture and granite products, construction business, the management of properties and trading of goods, developing and operating hydropower plants, building and operating hotels and resorts, sports and entertainment activities, and exploiting and selling iron ore. HGAL was founded in 1993 and is headquartered in Pleiku City, Vietnam.",www.hagl.com.vn,,24200.0,,,hoanhanhagrico@hagl.com.vn,+84592222282,Asia-Pacific,vietnam,Gia Lai,Not Specified,PleiKu,Asia-Pacific,cambodia,Not Specified,Not Specified,Not Specified,,,Food & Beverages,Crop production,Agribusiness,Manufacturing,132,Yes,41.77,No,New,Announced,,China,,https://e.vnexpress.net/news/business/companies/hoang-anh-gia-lai-to-expand-banana-farming-for-china-export-3795047.html,False,False,False,False,True,True,food_and_beverages_crop_production_manufacturing,True,False,2018
149,2018-07-01,#310128,Kookmin Bank,KB Financial Group,"South Korea-based KB Financial Group is a financial holding company that provides various banking and related services. Its remit includes commercial banking, asset management and life insurance. The company engages in computer system development, system maintenance and information technology outsourcing services. The company was founded in 2008 and is headquartered in Seoul, South Korea.",m.kbfg.com,21263.81,,,2008.0,,+82220738360,Asia-Pacific,south_korea,Seoul,Not Specified,Seoul,Asia-Pacific,cambodia,Phnom Penh,Not Specified,Phnom Penh,,,Financial services,Retail banking,Financial Services,Business Services,60,Yes,30.6,Yes,New,Opened,,,,http://pulsenews.co.kr/view.php?sc=30800018&year=2018&no=447212,False,False,False,False,True,False,financial_services_retail_banking_business_services,False,False,2018
150,2018-07-01,#310269,QLM Label Makers,QLM Label Makers,"QLM Label Makers manufactures labels and tags. The company offers product, thermal overprinted, chemical and weather resistant, industrial, digital, food/beverage, laser and computer, personal/healthcare, thermal, variable data, and custom printed and blank labels, as well as barcodes on food storage containers. It also distributes thermal printers, digital colour printers, ribbons, and touchscreen computers, as well as provides graphic design services. QLM Label Makers was incorporated in 1961 and is based in Brisbane, Australia.",qlm.com.au,,,,1961.0,,+61737113866,Asia-Pacific,australia,Queensland,Not Specified,Brisbane,Asia-Pacific,cambodia,Phnom Penh,Not Specified,Phnom Penh,,,"Paper, printing & packaging",Converted paper products,"Wood, Apparel & Related Products",Manufacturing,7,Yes,1.1081,No,New,Opened,"""We have looked to Cambodia as a market with exciting growth potential,"" said Simon Pugh, chief executive officer.",,,http://www.labelsandlabeling.com/news/industry-updates/qlm-label-makers-targets-growth-emerging-markets,False,False,False,True,False,False,paper_printing_and_packaging_converted_paper_products_manufacturing,False,False,2018
