Unnamed: 0,#,project_date,project_ref#,investing_company,parent_company,company_profile,website,revenue_(usd_m),headcount,r&d_expenditure_(usd_m),year_established,company_email,company_telephone,source_region,source_country,source_state,source_admin_region_(us_county),source_city,destination_region,destination_country,destination_state,destination_admin_region_(us_county),destination_city,free_zone,relocation,sector,sub_sector,cluster,activity,jobs_created,estimated,capital_investment,estimated.1,project_type,project_status,motive_description,markets_served,joint_venture_companies,source,source_is_th,destination_is_th,source_questionable,developed,emne,bordering_country,industry,natural_resource_ind,colonial_link,year
382,383,2017-12-01,#292176,Uber Technologies,Uber Technologies,"Uber Technologies is a transportation technology firm. The company's remit includes ride-hailing, food delivery, and freight transportation. Uber Technologies was established in 2009 and is based in San Francisco, California, US.",www.uber.com,11140.0,22800.0,4836.0,2009.0,,+14156128582,North America,united_states,California,San Francisco City & County (CA),San Francisco (CA),Africa,tanzania,Dar es Salaam,Not Specified,Dar es Salaam,,,Software & IT services,Internet publishing & broadcasting & web search,Transportation & Warehousing,"Sales, Marketing & Support",19,Yes,5.2,Yes,New,Opened,,,,http://www.thecitizen.co.tz/News/Uber-taxi-operations-start-to-take-hold-in-Dar-es-Salaam/1840340-4214368-rw7lo3/index.html,False,False,False,True,False,False,software_and_it_services_internet_publishing_and_broadcasting_and_web_search_sales_marketing_and_support,False,False,2017
394,395,2017-12-01,#293196,Mobisol Tanzania,Mobisol,"Mobisol develops and installs solar home systems that provide electricity to power LED lights, radios, mobile phones, and various household and consumer appliances. Its solar home systems include LED light bulbs, portable lanterns, and mobile phone chargers, as well as balance-of-system components, such as wiring and switches. The company was established in 2010 and is based in Berlin, Germany.",www.plugintheworld.com,,,,2010.0,,+255800755000,Western Europe,germany,Berlin,Berlin,Berlin,Africa,tanzania,Dar es Salaam,Not Specified,Dar es Salaam,,,Electronic components,All other electrical equipment & components,Retail Trade,Retail,118,Yes,9.1,Yes,New,Opened,,,,http://www.plugintheworld.com/mobisol/2017/12/19/mobisol-launches-flagship-store-in-dar-es-salaam/,False,False,False,True,False,False,electronic_components_all_other_electrical_equipment_and_components_retail,False,True,2017
415,416,2017-11-01,#291355,Citibank Tanzania,Citigroup,"Citigroup is a diversified financial services company. Citigroup was founded in 1812 and is headquartered in NYC, New York, US.",www.citigroup.com,71884.0,0.0,,1812.0,,+25522117601,North America,united_states,New York,New York City County (NY),NYC (NY),Africa,tanzania,Dar es Salaam,Not Specified,Dar es Salaam,,,Financial services,Retail banking,Financial Services,Headquarters,93,Yes,39.5,Yes,Expansion,Opened,,,,https://asokoinsight.com/news/citibank-opens-new-tanzania-head-offices,False,False,False,True,False,False,financial_services_retail_banking_headquarters,False,False,2017
436,437,2017-10-01,#294055,Serba Dinamik Holdings,Serba Dinamik Holdings,"Serba Dinamik Holdings is a provider of engineering solutions to the oil and gas and power generation industries, with operational facilities in Malaysia, Indonesia, UAE, Bahrain and the UK. It is based in Selangor, Malaysia.",www.serbadinamik.com,,,,,,+60355113213,Asia-Pacific,malaysia,Selangor,Not Specified,Shah Alam,Africa,tanzania,Zanzibar,Not Specified,Msufini,,,Chemicals,Basic chemicals,Physical Sciences,Manufacturing,94,Yes,69.8,No,New,Announced,,,"Serba Dinamik Holdings, Junaco",http://www.thesundaily.my/news/2017/10/10/serba-dinamik-joint-venture-tanzanian-company,False,False,False,False,True,False,chemicals_basic_chemicals_manufacturing,False,False,2017
457,458,2017-09-01,#285053,Choppies,Choppies,"Botswana-based Choppies, an investment holding company, owns and operates a chain of supermarkets in sub-Saharan Africa. The company operates value stores, superstores, and hyperstores under the Choppies brand name. Its stores offer products, including fruits and vegetables, bakery, butchery, takeaway, kiosk, bulk buys, frozen foods, cold drinks, dairy and general merchandise. In addition, the company distributes meat. Choppies was founded in 1986 and is based in Gaborone, Botswana.",www.choppies.co.bw,,,,1986.0,info@choppies.co.bw,+2673186657,Africa,botswana,Kgatleng,Not Specified,Gaborone,Africa,tanzania,Not Specified,Not Specified,Not Specified,,,Food & Beverages,Food & beverage Stores,Retail Trade,Retail,132,Yes,13.4,Yes,New,Announced,,,,,False,False,False,False,True,False,food_and_beverages_food_and_beverage_stores_retail,False,False,2017
458,459,2017-09-01,#286888,Neusoft Medical Systems,Neusoft Group,"Neusoft provides IT solutions and services worldwide. The company offers products and platforms, such as TalentBase human capital management system; SkillBase, an e-learning system; group financial management and control system; customer relationship management system; enterprise asset management system; super electronic archive system; business process content management platform; and UniOffice, an office management system. Its products and platforms also include picture archiving and communication software system; digital signage network/system; NetEye security operations centre platform; NetPatrol, a network application monitoring and management system; Aclome, a cloud management environment; UniEAP, a unified enterprise application practice application; OpenBASE, a database management system; mobile device management system; navigation system; and rear view assistance system. The company was founded in 1991 and is headquartered in Shenyang, China.",www.neusoft.com,609.49,,,1991.0,,+862483665618,Asia-Pacific,china,Liaoning,Not Specified,Shenyang,Africa,tanzania,Not Specified,Not Specified,Not Specified,,,Medical devices,Electromedical and Electrotherapeutic Apparatus,Life sciences,Manufacturing,132,Yes,25.1,Yes,New,Announced,,,,,False,False,False,False,True,False,medical_devices_electromedical_and_electrotherapeutic_apparatus_manufacturing,False,False,2017
487,488,2017-08-01,#290061,Banque Misr,Banque Misr,"Banque Misr provides a range of banking services. It offers current accounts, current accounts in foreign currencies, savings accounts, saving pools, mutual funds, interest rates on foreign deposits, letters of credit, documentary credit and social development funds, as well as Islamic banking services. The bank's loan products include consumer loans, salary loans, educational loans and loans guaranteed by mutual funds certificates. Banque Misr provides various insurance products, such as accidental insurance, personal insurance, liability insurance and life insurance. It also offers Internet banking, automated teller machine services and interactive voice services. In addition, the bank invests in various projects, including financial, industrial, tourism, food, housing, service and communication and information technology. Founded in 1920, Banque Misr is headquartered in Cairo, Egypt.",www.banquemisr.com/en/home,,,,1920.0,BM19888@banquemisr.com,,Africa,egypt,Cairo,Not Specified,Cairo,Africa,tanzania,Dodoma,Not Specified,Dodoma,,,Financial services,Retail banking,Financial Services,Business Services,22,Yes,9.5,Yes,New,Announced,,,,https://www.egypttoday.com/Article/3/32157/Banque-Misr-to-open-offices-in-Kenya-South-Korea-in,False,False,False,False,True,False,financial_services_retail_banking_business_services,False,False,2017
495,496,2017-08-01,#284857,SEW-Eurodrive,SEW-Eurodrive,"SEW-Eurodrive engages in the development, production, and sale of drive technology. It offers gear motors and inverter technology, industrial gear units, decentralised drives and mechatronics, servo drive technology, and energy-saving solutions, as well as industrial communication solutions, control technology, operator panels, software, and other accessories. The company also offers engineering and selection, and startup and maintenance services. It serves automotive transportation and logistics, beverage, airport baggage handling, and other industries worldwide. SEW-Eurodrive was founded in 1931 and is based in Bruchsal, Germany.",www.sew-eurodrive.com,4022.99,0.0,,1931.0,,+497251750,Western Europe,germany,Baden-Wurttemberg,Karlsruhe,Bruchsal,Africa,tanzania,Dar es Salaam,Not Specified,Dar es Salaam,,,Industrial equipment,Power transmission equipment,Industrial,"Sales, Marketing & Support",13,No,1.4,Yes,New,Opened,,"East Africa itself, including the Congo (DRC), Uganda, South Sudan, Ethiopia, and Somalia, among others.",,,False,False,False,True,False,False,industrial_equipment_power_transmission_equipment_sales_marketing_and_support,False,True,2017
502,503,2017-08-01,#384663,Apelby Communications,Apelby Communications,"Apelby Communications provides telecommunication services. The company's remit includes international voice traffic services, data and SMS, outsourcing services for retail customers, and fraud and market protection services. Apelby Communications was founded in 2005 and is based in Dusseldorf, Germany.",www.apelby.com,,0.0,,2005.0,,+492119350191,Western Europe,germany,North-Rhine Westphalia,Dusseldorf,Dusseldorf,Africa,tanzania,Dar es Salaam,Not Specified,Dar es Salaam,,,Communications,Wired telecommunication carriers,ICT & Electronics,"Sales, Marketing & Support",37,Yes,4.7,Yes,New,Opened,,,,https://www.apelby.com/company-milestones/,False,False,False,True,False,False,communications_wired_telecommunication_carriers_sales_marketing_and_support,False,True,2017
534,535,2017-06-01,#280141,Airtel Tanzania,Bharti Airtel,"Bharti Airtel, together with its subsidiaries, provides telecommunication systems and services worldwide. Its Mobile Services India segment offers voice and data telecom services.  The company's Telemedia Services segment provides voice and data communications based on fixed network and broadband technology. Its Tower Infrastructure Services segment engages in setting up, operating, and maintaining wireless communication towers. The company was formerly known as Bharti Tele-Ventures Limited and changed its name to Bharti Airtel Limited in April 2006. Bharti Airtel Limited was founded in 1995 and is headquartered in New Delhi, India.",www.airtel.in,14826.23,17491.0,,1995.0,helpdesk@tz.airtel.com,+255784103001,Asia-Pacific,india,Delhi,Not Specified,New Delhi,Africa,tanzania,Tanga,Not Specified,Tanga,,,Communications,Communications equipment,Retail Trade,Retail,35,Yes,6.9,Yes,New,Opened,,,,,False,False,False,False,True,False,communications_communications_equipment_retail,False,False,2017
